Alias,Role,Hero Pool,Team,Years
Boombox,Flex Support,Baptiste\Ana\Zenyatta,@Fusion,
BQB,Hitscan,Ashe\Reaper\McCree\Widowmaker\Sombra\Hanzo\Soldier: 76\Tracer\Symmetra,@FLMayhem,
Byrem,Flex Support,Zenyatta\Brigitte\Baptiste,@FLMayhem,
CarCar,Main Support,Baptiste\Lucio\Brigitte\Mercy,@VancouverTitans,
Carpe,Hitscan,Tracer\Ashe\McCree\Torbjorn\Widowmaker\Hanzo\Symmetra\Reaper,@Fusion,
Chara,Main Support,Lucio\Mercy\Brigitte\Baptiste,@GZCharge,2020\2019
ChipSa,Doomfist,Doomfist,@Fusion,
ChoiHyobin,Off Tank,D.Va\Zarya\Roadhog\Sigma\Orisa\Wrecking Ball,@SFShock,
Clestyn,Off Tank,D.Va\Roadhog\Sigma,@Spitfire,
Closer,Main Support,Lucio\Mercy\Baptiste\Brigitte,@DallasFuel,
ColdesT,Flex Support,Zenyatta\Ana\Moira,@Hangzhou_Spark,2020
Colourhex,Flex DPS,Tracer\Mei\Genji\Echo\Torbjorn\Sombra\Pharah\Junkrat\Hanzo\McCree\Widowmaker,@BostonUprising,
Cr0ng,Flex Tank,D.Va\Zarya\Sigma\Roadhog\Reinhardt\Wrecking Ball,@GZCharge,2020
Creative,Flex Support,Zenyatta\Ana,@SeoulDynasty,2020
